id,itemId,userId,releaseId,timestamp,increasesDurability,increasesReputationPercent,topSpeed,ps,damage,fireRate,range,accuracy,timeToOverheating,maxAmmo,blastPower,addsEnergy,tonnage,massLimit,maxCabinSpeed,maxChassisSpeed,power,cabinPower,fuelReserves,featureBulletPercent,featureMeleePercent,featureBlastPercent,featureFirePercent,featurePassthroughPercent,durability,energyDrain,mass,perks
2997,1458,clmws2jde0000mtdkw3581kp9,42,2023-09-24 13:40:12.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2998,1459,clmws2jde0000mtdkw3581kp9,42,2023-09-24 13:40:12.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2999,1460,clmws2jde0000mtdkw3581kp9,42,2023-09-24 13:40:12.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3000,1461,clmws2jde0000mtdkw3581kp9,42,2023-09-24 13:40:12.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3001,1462,clmws2jde0000mtdkw3581kp9,42,2023-09-24 13:40:12.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3002,1464,clmws2jde0000mtdkw3581kp9,42,2023-09-24 13:40:12.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3003,1465,clmws2jde0000mtdkw3581kp9,42,2023-09-24 13:40:12.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3004,1468,clmws2jde0000mtdkw3581kp9,32,2023-09-24 13:40:12.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3005,1469,clmws2jde0000mtdkw3581kp9,32,2023-09-24 13:40:12.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3006,1470,clmws2jde0000mtdkw3581kp9,32,2023-09-24 13:40:12.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3007,1471,clmws2jde0000mtdkw3581kp9,32,2023-09-24 13:40:12.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3008,1472,clmws2jde0000mtdkw3581kp9,32,2023-09-24 13:40:12.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3009,1473,clmws2jde0000mtdkw3581kp9,32,2023-09-24 13:40:12.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3010,1474,clmws2jde0000mtdkw3581kp9,32,2023-09-24 13:40:12.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3011,1475,clmws2jde0000mtdkw3581kp9,32,2023-09-24 13:40:12.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3012,1476,clmws2jde0000mtdkw3581kp9,32,2023-09-24 13:40:12.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3013,1477,clmws2jde0000mtdkw3581kp9,32,2023-09-24 13:40:12.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3014,1478,clmws2jde0000mtdkw3581kp9,32,2023-09-24 13:40:12.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3015,1479,clmws2jde0000mtdkw3581kp9,32,2023-09-24 13:40:12.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3016,1480,clmws2jde0000mtdkw3581kp9,32,2023-09-24 13:40:12.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3017,1481,clmws2jde0000mtdkw3581kp9,32,2023-09-24 13:40:12.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3018,1482,clmws2jde0000mtdkw3581kp9,32,2023-09-24 13:40:12.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3019,1483,clmws2jde0000mtdkw3581kp9,32,2023-09-24 13:40:12.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3020,1484,clmws2jde0000mtdkw3581kp9,32,2023-09-24 13:40:12.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3021,1485,clmws2jde0000mtdkw3581kp9,32,2023-09-24 13:40:12.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3022,1486,clmws2jde0000mtdkw3581kp9,32,2023-09-24 13:40:12.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3023,1487,clmws2jde0000mtdkw3581kp9,32,2023-09-24 13:40:12.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3024,1488,clmws2jde0000mtdkw3581kp9,32,2023-09-24 13:40:12.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3025,1490,clmws2jde0000mtdkw3581kp9,32,2023-09-24 13:40:12.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3026,1491,clmws2jde0000mtdkw3581kp9,32,2023-09-24 13:40:12.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3027,1492,clmws2jde0000mtdkw3581kp9,32,2023-09-24 13:40:12.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3028,1493,clmws2jde0000mtdkw3581kp9,32,2023-09-24 13:40:12.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3029,1494,clmws2jde0000mtdkw3581kp9,32,2023-09-24 13:40:12.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3030,1495,clmws2jde0000mtdkw3581kp9,32,2023-09-24 13:40:12.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3031,1496,clmws2jde0000mtdkw3581kp9,32,2023-09-24 13:40:12.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3032,1497,clmws2jde0000mtdkw3581kp9,32,2023-09-24 13:40:12.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3033,1498,clmws2jde0000mtdkw3581kp9,32,2023-09-24 13:40:12.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
