id,name,marketDef,quantity,typeId,categoryId,factionId,rarityId,level,active,logId,buyOrders,buyPriceMax,sellOrders,sellPriceMin,timestamp
9010,Fuel,,1,25,8,99,99,0,true,,,,,,2023-09-30 13:13:24.632
9007,Uranium ore,,1,25,8,99,99,0,true,,,,,,2023-09-30 13:13:24.632
9006,Electronics,,1,25,8,99,99,0,true,,,,,,2023-09-30 13:13:24.632
9005,Batteries,,1,25,8,99,99,0,true,,,,,,2023-09-30 13:13:24.632
9004,Plastic,,1,25,8,99,99,0,true,,,,,,2023-09-30 13:13:24.632
9003,Wires,,1,25,8,99,99,0,true,,,,,,2023-09-30 13:13:24.632
9002,Copper,,1,25,8,99,99,0,true,,,,,,2023-09-30 13:13:24.632
9001,Scrap Metal,,1,25,8,99,99,0,true,,,,,,2023-09-30 13:13:24.632
9000,Coupons,,1,25,8,99,99,0,true,,,,,,2023-09-30 13:13:24.632
6175,Right knee,structure_6175,1,125,5,9,99,0,true,,,,,,2023-09-25 18:46:08.649
6174,Right elbow,structure_6174,1,125,5,9,99,0,true,,,,,,2023-09-25 18:46:08.649
6173,Left knee,structure_6173,1,125,5,9,99,0,true,,,,,,2023-09-25 18:46:08.649
6172,Left elbow,structure_6172,1,125,5,9,99,0,true,,,,,,2023-09-25 18:46:08.649
6171,Freight train plow,structure_6171,1,109,5,4,99,63,true,,,,,,2023-09-25 18:46:08.649
6170,Reinforced left corner,structure_6170,1,111,5,4,99,55,true,,,,,,2023-09-25 18:46:08.649
6169,Reinforced right corner,structure_6169,1,111,5,4,99,55,true,,,,,,2023-09-25 18:46:08.649
6168,Tram car doors,structure_6168,1,111,5,4,99,53,true,,,,,,2023-09-25 18:46:08.649
6167,Corner platform left,structure_6167,1,111,5,4,99,48,true,,,,,,2023-09-25 18:46:08.649
6166,Corner platform right,structure_6166,1,111,5,4,99,48,true,,,,,,2023-09-25 18:46:08.649
6165,Long slope,structure_6165,1,111,5,4,99,46,true,,,,,,2023-09-25 18:46:08.649
6164,Fuselage,structure_6164,1,109,5,3,99,40,true,,,,,,2023-09-25 18:46:08.649
6163,Dual avia slope,structure_6163,1,124,5,3,99,38,true,,,,,,2023-09-25 18:46:08.649
6162,Right avia air intake,structure_6162,1,124,5,3,99,33,true,,,,,,2023-09-25 18:46:08.649
6161,Left avia air intake,structure_6161,1,124,5,3,99,33,true,,,,,,2023-09-25 18:46:08.649
6160,Airplane interior,structure_6160,1,124,5,3,99,31,true,,,,,,2023-09-25 18:46:08.649
6159,Left filter,structure_6159,1,124,5,3,99,26,true,,,,,,2023-09-25 18:46:08.649
6158,Right filter,structure_6158,1,124,5,3,99,26,true,,,,,,2023-09-25 18:46:08.649
6157,Puncher,structure_6157,1,109,5,2,99,24,true,,,,,,2023-09-25 18:46:08.649
